row_id,umidade_pct,temp_c,ldr,ph_sim,ph_ok,n_ok,p_ok,k_ok,faltando,limiar_on,limiar_off,rain_mm,pop_pct,irrigacao,source_file,label
21,33.5,26.7,1979,6.77,SIM,0,0,0,3,44.0,49.0,0.0,0,LIGADA,Log Wokwi.txt,milho
22,22.0,26.7,1979,6.77,SIM,0,0,0,3,44.0,49.0,0.0,0,LIGADA,Log Wokwi.txt,milho
23,21.0,26.7,1979,6.77,SIM,0,0,0,3,44.0,49.0,0.0,0,LIGADA,Log Wokwi.txt,milho
24,15.5,26.7,1979,6.77,SIM,0,0,0,3,44.0,49.0,0.0,0,LIGADA,Log Wokwi.txt,milho
25,36.0,26.7,1979,6.77,SIM,0,0,0,3,44.0,49.0,0.0,0,LIGADA,Log Wokwi.txt,milho
26,36.0,26.7,1979,6.77,SIM,0,0,0,3,44.0,49.0,0.0,0,LIGADA,Log Wokwi.txt,milho
27,36.0,26.7,1979,6.77,SIM,0,0,0,3,44.0,49.0,0.0,0,LIGADA,Log Wokwi.txt,milho
28,36.0,26.7,1979,6.77,SIM,0,0,0,3,44.0,49.0,0.0,0,LIGADA,Log Wokwi.txt,milho
29,36.0,26.7,2531,8.65,NAO,0,0,0,3,46.0,51.0,0.0,0,LIGADA,Log Wokwi.txt,soja
30,36.0,26.7,3092,10.57,NAO,0,0,0,3,46.0,51.0,0.0,0,LIGADA,Log Wokwi.txt,soja
31,36.0,26.7,3394,11.6,NAO,0,0,0,3,46.0,51.0,0.0,0,LIGADA,Log Wokwi.txt,soja
32,36.0,26.7,3394,11.6,NAO,0,0,0,3,46.0,51.0,0.0,0,LIGADA,Log Wokwi.txt,soja
33,36.0,26.7,3658,12.51,NAO,0,0,0,3,46.0,51.0,0.0,0,LIGADA,Log Wokwi.txt,soja
34,36.0,26.7,3831,13.1,NAO,0,0,0,3,46.0,51.0,0.0,0,LIGADA,Log Wokwi.txt,soja
35,36.0,26.7,3938,13.46,NAO,0,0,0,3,46.0,51.0,0.0,0,LIGADA,Log Wokwi.txt,soja
36,36.0,26.7,3965,13.56,NAO,0,0,0,3,46.0,51.0,0.0,0,LIGADA,Log Wokwi.txt,soja
37,36.0,26.7,3990,13.64,NAO,0,0,0,3,46.0,51.0,0.0,0,LIGADA,Log Wokwi.txt,soja
38,36.0,26.7,818,2.8,NAO,0,0,0,3,46.0,51.0,0.0,0,LIGADA,Log Wokwi.txt,milho
39,36.0,26.7,546,1.87,NAO,0,0,0,3,46.0,51.0,0.0,0,LIGADA,Log Wokwi.txt,milho
40,36.0,26.7,315,1.08,NAO,0,0,0,3,46.0,51.0,0.0,0,LIGADA,Log Wokwi.txt,milho
41,36.0,26.7,143,0.49,NAO,0,0,0,3,46.0,51.0,0.0,0,LIGADA,Log Wokwi.txt,milho
42,36.0,26.7,143,0.49,NAO,0,0,0,3,46.0,51.0,0.0,0,LIGADA,Log Wokwi.txt,milho
43,36.0,26.7,71,0.24,NAO,0,0,0,3,46.0,51.0,0.0,0,LIGADA,Log Wokwi.txt,milho
44,36.0,26.7,2210,7.56,NAO,0,0,0,3,46.0,51.0,0.0,0,LIGADA,Log Wokwi.txt,soja
45,36.0,26.7,2468,8.44,NAO,0,0,0,3,46.0,51.0,0.0,0,LIGADA,Log Wokwi.txt,soja
46,36.0,26.7,2468,8.44,NAO,0,0,0,3,46.0,51.0,0.0,0,LIGADA,Log Wokwi.txt,soja
47,36.0,26.7,2468,8.44,NAO,1,0,0,2,43.0,48.0,0.0,0,LIGADA,Log Wokwi.txt,soja
48,36.0,26.7,2468,8.44,NAO,0,0,0,3,46.0,51.0,0.0,0,LIGADA,Log Wokwi.txt,soja
49,36.0,26.7,2468,8.44,NAO,0,1,0,2,43.0,48.0,0.0,0,LIGADA,Log Wokwi.txt,soja
50,36.0,26.7,2468,8.44,NAO,0,0,0,3,46.0,51.0,0.0,0,LIGADA,Log Wokwi.txt,soja
51,36.0,26.7,2468,8.44,NAO,0,0,1,2,43.0,48.0,0.0,0,LIGADA,Log Wokwi.txt,soja
52,36.0,26.7,2468,8.44,NAO,0,0,1,2,43.0,48.0,0.0,0,LIGADA,Log Wokwi.txt,soja
53,36.0,26.7,2468,8.44,NAO,1,1,1,0,37.0,42.0,0.0,0,LIGADA,Log Wokwi.txt,soja
54,36.0,26.7,2468,8.44,NAO,1,1,1,0,37.0,42.0,0.0,0,LIGADA,Log Wokwi.txt,soja
55,36.0,26.7,2468,8.44,NAO,1,1,1,0,37.0,42.0,0.0,0,LIGADA,Log Wokwi.txt,soja
56,36.0,26.7,2468,8.44,NAO,0,0,0,3,46.0,51.0,0.0,0,LIGADA,Log Wokwi.txt,soja
57,36.0,26.7,2468,8.44,NAO,0,0,0,3,46.0,51.0,0.0,0,LIGADA,Log Wokwi.txt,soja
